Roman
Kudlakov
1e6d961c3fff027f0a49badef63134d2
[23.4.2021 | 15:35:20] {"type":"cmd","data":"run"}
,[23.4.2021 | 15:35:24] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:24] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:24] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:24] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:24] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:24] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:24] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:24] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:24] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:25] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:25] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:25] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:25] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4112,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:25] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4112,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:25] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4112,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:25] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4112,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:25] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4112,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:25] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4112,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:26] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4112,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:26] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":4112,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:26] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5136,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:26] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5136,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:26] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5136,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:26] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5136,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:26] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5136,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:26] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5136,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:26] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5136,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:27] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5136,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:27] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5120,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:27] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5120,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:27] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5120,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:27] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5120,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:27] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5120,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:27] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5120,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:27] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":5120,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:27] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:28] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:28] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:28] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:28] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:28] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:28] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:28] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:28] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:28] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:29] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:29] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:29] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:29] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:29] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:29] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:29] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:29] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:29] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:29] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:30] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:30] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:30] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:30] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:30] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:30] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:30] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:30] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:30] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:31] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:31] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:31] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:31] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:31] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:31] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:31] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:31] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[23.4.2021 | 15:35:32] {"client-id":"86645df9-2cf9-4dfb-9f22-0691eedbc53c","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":1024,"modeltime":0,"type":"gpio"}
